Product,Aliexpress Link,Website Link,Product Cost,Selling Price,Profit,Min_profit,Max profit,Niche,Skill Level,Trend Score,Profit Score,Competition Score,Final Score,Thunderbird 1,Thunderbird 2,Thunderbird 3
Menstrual Leak Proof Underwear,https://vi.aliexpress.com/item/1005006718663509.html?spm=a2g0o.imagesearchproductlist.main.1.5ee2SFadSFaddM&algo_pvid=427e52b1-4c7f-4242-b8b2-7a8f2c75b55f&algo_exp_id=427e52b1-4c7f-4242-b8b2-7a8f2c75b55f&pdp_ext_f=%7B%22order%22%3A%221551%22%7D&pdp_npi=4%40dis%21USD%213.84%210.99%21%21%2127.75%217.14%21%400b1bf20a17433174811578583ebe4f%2112000038084409069%21sea%21US%212863067858%21ABX&curPageLogUid=QvYTWYa8basW&utparam-url=scene%3Aimage_search%7Cquery_from%3Apc_web_image_search&gatewayAdapt=4itemAdapt,https://everdries.com/products/new-comfort-plus-leakproof-underwear-bundles,£1.00,£60.00,£55.00,£5.13,£203.86,"Health & wellness, fashion, women's clothing, victoria secret",Intermediate,31.1,10,15,56.1,"- **Opportunity Summary**: The menstrual leak-proof underwear market presents a profitable niche within health and wellness, targeting women seeking comfort and reliability during their menstrual cycle.

- **Why It's High/Low Scoring**: The product has a strong profit margin (£55.04) and a favorable trend score (31.1), indicating growing interest. However, competition is moderate (14.99), suggesting potential challenges in market saturation.

- **Marketing Angle**: Emphasize comfort, confidence, and sustainability, positioning the underwear as a stylish and eco-friendly alternative to traditional menstrual products, appealing to health-conscious consumers.","1) **Winning Ad Angle:** Empowerment and confidence through comfort—embracing your period without worry.

2) **One-Line Hook:** ""Stay confident and leak-free all day, every day—because your period shouldn't hold you back!""

3) **Target Audience:** Women aged 18-35 who prioritize comfort and style, are health-conscious, and seek sustainable, innovative solutions for menstrual care.","- **Trend Score (High)**: The high trend score indicates a growing consumer interest in sustainable and innovative menstrual products, reflecting a shift towards eco-friendly solutions.  
- **Competition Score (Low)**: The low competition score suggests that the market for menstrual leak-proof underwear is still relatively untapped, allowing for potential growth opportunities.  
- **Profit Score (High)**: The high profit score indicates a strong margin on the product, suggesting effective pricing strategies and cost management in production."
Baby Skincare Bathtub Filter,"https://vi.aliexpress.com/item/1005007369757196.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.1.274afPl8fPl8As&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40196.429561.0&scm_id=1007.40196.429561.0&scm-url=1007.40196.429561.0&pvid=4dc7f162-d6da-4b30-b023-5fa571b97186&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.40196.429561.0,pvid:4dc7f162-d6da-4b30-b023-5fa571b97186,tpp_buckets:668%232846%238108%231977&pdp_ext_f=%7B%22order%22%3A%2228%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%7D&pdp_npi=4%40dis%21USD%2138.99%2112.83%21%21%21285.61%2193.95%21%40210318ec17442962424298032ea69d%2112000040462725518%21rec%21CA%216232640341%21ABX&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A",https://www.kinderfilter.com/products/skincare-bath-filter,£8.20,£65.00,£56.80,,,"New Parents, Skincare, Expecting mother, Babies, Hygiene",Intermediate,31.4,10.1,15.8,57.3,"- **Opportunity Summary**: The Baby Skincare Bathtub Filter targets new parents and expecting mothers, addressing hygiene concerns for infants, with a solid profit margin of £56.81.

- **Why It's High/Low Scoring**: The product has a moderate trend score (31.36) indicating growing interest, but the competition score (15.85) suggests a crowded market, which may limit visibility and sales potential.

- **Marketing Angle**: Emphasize the importance of safe and clean bathing for babies, highlighting the filter's role in ensuring pure water for delicate skin, appealing to health-conscious parents.","1) **Winning Ad Angle:** Emphasize the importance of pure, chemical-free bathing for babies, highlighting how the filter ensures clean water for delicate skin.

2) **One-Line Hook:** ""Give your baby the purest bath experience—because their skin deserves nothing less!""

3) **Target Audience:** New parents and expecting mothers who prioritize health and hygiene for their babies.","- **Trend Score**: The high trend score indicates a growing consumer interest in baby skincare and wellness products, reflecting increased awareness among parents about the importance of safe bathing environments.  
- **Competition Score**: The relatively low competition score suggests that there are fewer brands offering specialized bathtub filters for baby skincare, indicating a niche market opportunity.  
- **Profit Score**: The high profit score of £56.81 indicates strong potential margins, likely due to the perceived value of the product in ensuring baby safety and skincare."
Medic Compression Socks,https://platform.autods.com/marketplace/hand-picked-products/66d3f782804f1ccaf677ead5,https://compressionsocksworld.co/products/vero-compression-socks-us-black?fbclid=IwY2xjawJVwVJleHRuA2FlbQIxMQABHeCtytSI1NzZEaG13QcK4_Ru6hsZYF68Rg4lJvAbdnD1QlYwvCce18oKHQ_aem_Rd4fMObhlhfE8RaHhWQN1w,£8.80,£45.00,£36.20,,,"Health and wellness, Elderly, Medical condition, Fitness, Rehab",Intermediate,34.3,6.1,25.6,66,"- **Opportunity Summary**: Medic Compression Socks target a growing market in health and wellness, particularly for the elderly and those with medical conditions, offering a solid profit margin of £36.17.

- **Why It's High/Low Scoring**: The product scores high due to its relevance in a niche market with increasing demand, but may face competition (Comp score) and moderate trend growth, indicating potential market saturation.

- **Marketing Angle**: Emphasize the health benefits of compression socks for improved circulation and recovery, targeting fitness enthusiasts and elderly individuals seeking comfort and support in daily activities.","1) **Winning Ad Angle:** Promote the benefits of improved circulation and reduced fatigue for active seniors and those in rehabilitation, emphasizing comfort and support.

2) **One-Line Hook:** ""Step into comfort and vitality with Medic Compression Socks – your partner in active living!""

3) **Target Audience:** Seniors aged 60+, individuals recovering from injuries, fitness enthusiasts, and caregivers looking for health solutions for elderly clients.","- **Trend Score**: The high trend score indicates a growing demand for compression socks, likely due to increased awareness of health benefits and active lifestyles.  
- **Competition Score**: The competition score is relatively high, suggesting a saturated market with many brands offering similar products, making differentiation challenging.  
- **Profit Score**: The profit score is high, reflecting a strong margin on sales, which can be attributed to effective pricing strategies and perceived value among consumers."
Handheld Folding Turbo Fan,https://www.aliexpress.us/item/3256806821579633.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.3.5701oKkWoKkWkk&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40196.394660.0&scm_id=1007.40196.394660.0&scm-url=1007.40196.394660.0&pvid=cd456c4d-1b83-4852-bf8b-404a5f75dc8b&_t=gps-id%3ApcDetailTopMoreOtherSeller%2Cscm-url%3A1007.40196.394660.0%2Cpvid%3Acd456c4d-1b83-4852-bf8b-404a5f75dc8b%2Ctpp_buckets%3A668%232846%238114%231999&pdp_ext_f=%7B%22order%22%3A%22247%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%7D&pdp_npi=4%40dis%21USD%2130.34%2114.56%21%21%21219.38%21105.30%21%402101c59117431983857697291e0cca%2112000045468203516%21rec%21US%216233907210%21X&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A&gatewayAdapt=4itemAdapt,https://www.preciouts.com/products/portable-handheld-turbo-fan-2?fbclid=IwY2xjawJhWtZleHRuA2FlbQIxMQABHikYWkebRZz3YV_24SSP-GOLiG8mItJFyd_ohtpGDRuF_WVG2mFW8E0T3NSx_aem_3E9M2maKY_7-xsfpFrvweA,£8.10,£39.00,£30.90,,,"Outdoor enthusiasts, travelers, office workers, parents, festival goers",Intermediate,33.5,5.1,23,61.6,"- **Opportunity Summary**: The Handheld Folding Turbo Fan targets a diverse audience, including outdoor enthusiasts and office workers, with a solid profit margin of £30.88, indicating a lucrative market potential.

- **Why It's High/Low Scoring**: The product's trend score (33.54) suggests growing interest, while the competition score (23.02) indicates moderate competition, making it a favorable opportunity for entry.

- **Marketing Angle**: Emphasize versatility and convenience for various users—highlight its portability for travelers and outdoor activities, as well as its utility in office settings and during festivals.","1) **Winning Ad Angle:** ""Stay Cool Anywhere: The Ultimate Portable Solution for Comfort on the Go.""

2) **One-Line Hook:** ""Beat the heat with our Handheld Folding Turbo Fan—your perfect companion for every adventure!""

3) **Target Audience:** Outdoor enthusiasts, travelers, office workers, parents, and festival goers seeking portable cooling solutions.",#NAME?
Magnetic Waterproof Bike Bag,"https://www.aliexpress.us/item/1005008059060849.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.10.6842DUNiDUNi7p&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40196.429561.0&scm_id=1007.40196.429561.0&scm-url=1007.40196.429561.0&pvid=77e4b9c8-b9bb-4121-a3d0-ce9560a17505&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.40196.429561.0,pvid:77e4b9c8-b9bb-4121-a3d0-ce9560a17505,tpp_buckets:668%232846%238111%231996&pdp_ext_f=%7B%22order%22%3A%22165%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%7D&pdp_npi=4%40dis%21USD%2132.31%219.01%21%21%21236.72%2166.01%21%402103277f17442946825067875e71bd%2112000043499843929%21rec%21CA%213025785028%21ABXZ&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A",https://www.syl-via.com/products/rhinowalk-magnetic-waterproof-bicycle-tube-bag-quick-release-buckle-rain-essential?st=,£6.30,£45.00,£38.70,,,"Biking, Cycling, Road Biking, Mountain Biking, BMX",Intermediate,34.7,6.6,26.8,68.1,"- **Opportunity Summary**: The Magnetic Waterproof Bike Bag presents a solid profit margin of £38.7, indicating a lucrative opportunity in the biking niche, particularly for cyclists seeking durable and functional accessories.

- **Why It's High/Low Scoring**: The product scores moderately due to a decent trend (34.7) and competitive landscape (26.8), suggesting a growing interest but also significant competition in the biking accessory market.

- **Marketing Angle**: Emphasize the bag's waterproof feature and magnetic attachment for convenience, targeting both road and mountain bikers who value practicality and reliability in their gear.","1) **Winning Ad Angle:** Emphasize the bag's durability and waterproof features, highlighting how it protects essentials during any biking adventure, rain or shine.

2) **One-Line Hook:** ""Ride fearless—keep your gear dry and secure with our Magnetic Waterproof Bike Bag!""

3) **Target Audience:** Intermediate cyclists aged 18-45 who enjoy road biking, mountain biking, or BMX and prioritize gear protection and convenience.","- **Trend Score**: The high trend score indicates strong consumer interest and demand for waterproof bike accessories, reflecting a growing trend in cycling and outdoor activities.  
- **Competition Score**: The high competition score suggests a saturated market with many similar products, making it challenging to stand out.  
- **Profit Score**: The high profit score of £38.7 indicates a favorable margin, suggesting that the product is priced well above its production costs, making it financially attractive."
Mini Retro Nostalgic Camera,https://www.aliexpress.us/item/3256806684864268.html?gatewayAdapt=glo2usa4itemAdapt,https://www.miniretroflix.com/products/miniretroflix%E2%84%A2-nostalgic-camera-1,£5.40,£48.90,£43.60,,,"Photography, Travel Enthusiast, Film Camera, Vlogging, Vintage Photography",Intermediate,35.4,7.5,29.1,72.1,"- **Opportunity Summary**: The Mini Retro Nostalgic Camera targets photography enthusiasts and travelers, leveraging a growing trend in vintage and film photography, with a solid profit margin of £43.56.

- **Why It's High/Low Scoring**: The product scores high due to its appeal in a niche market and strong profit potential, but may face competition from digital alternatives and other vintage cameras.

- **Marketing Angle**: Emphasize the unique retro aesthetic and the experience of film photography, appealing to both nostalgia and the desire for authentic, artistic vlogging content.","1) **Winning Ad Angle:** Emphasize the blend of vintage charm and modern convenience, showcasing how the Mini Retro Nostalgic Camera captures authentic moments with a classic aesthetic.

2) **One-Line Hook:** ""Capture your adventures with a touch of nostalgia—where every shot tells a story!""

3) **Target Audience:** Photography enthusiasts aged 18-35, vintage lovers, travel bloggers, and social media influencers who appreciate retro aesthetics and unique storytelling through photography.","- **Trend Score**: The high trend score indicates a strong consumer interest in retro and nostalgic products, reflecting a growing market for vintage-style items.  
- **Competition Score**: The high competition score suggests that many brands are entering the nostalgic camera market, making it a crowded space with numerous similar offerings.  
- **Profit Score**: The high profit score of £43.56 indicates a favorable pricing strategy and cost structure, allowing for significant margins on each sale."
Portable Golf Swing Mat,https://www.aliexpress.us/item/3256807075093002.html?spm=a2g0o.productlist.main.5.63bd2XsF2XsFUD&algo_pvid=30b0f2c7-cc8a-42bc-b588-ea6c5b6b2a2b&algo_exp_id=30b0f2c7-cc8a-42bc-b588-ea6c5b6b2a2b-2&pdp_ext_f=%7B%22order%22%3A%221279%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%2149.36%2116.19%21%21%21361.58%21118.56%21%402103209b17442984141904835e0531%2112000039983650732%21sea%21US%213025785028%21ABX&curPageLogUid=BAu9FxGKHK09&utparam-url=scene%3Asearch%7Cquery_from%3A,https://beessensations.com/products/golf-precision-pro-swing-mat?fbclid=IwY2xjawJkwO5leHRuA2FlbQIxMQABHkVUx8pMSTlWJerHAtn_uv-vk3F_N8JMFwpOoBa0GEgiC3rgAO6--h0bqskm_aem_XKGW88mbsT1E4xwkRQbphw,£17.70,£60.00,£42.30,,,"Golf, Fitness, Men, Gifts, Home Owners",Intermediate,29.2,7.3,8.8,45.3,"- **Opportunity Summary**: The Portable Golf Swing Mat presents a solid profit margin of £42.26, appealing to intermediate golfers and home fitness enthusiasts, making it a viable product in the golf niche.

- **Why It's High/Low Scoring**: The product scores moderately due to a decent trend (29.22/30) indicating growing interest, but faces competition (8.82/30) suggesting a crowded market with many alternatives.

- **Marketing Angle**: Position the mat as an essential training tool for improving golf skills at home, targeting men who are looking for convenient fitness gifts that enhance their game without needing to visit a golf course.","1) **Winning Ad Angle:** ""Transform Your Game Anywhere: Perfect Your Swing with Our Portable Golf Mat.""

2) **One-Line Hook:** ""Elevate your golf skills from the comfort of home or on the go!""

3) **Target Audience:** Intermediate male golfers aged 25-45, fitness enthusiasts, and homeowners looking for convenient practice solutions.","- **Trend Score (High)**: The high trend score indicates a growing interest in portable golf training aids, reflecting increased consumer demand for convenient practice solutions.  
- **Competition Score (Low)**: The low competition score suggests that there are few players in the market, allowing for easier entry and potential market dominance.  
- **Profit Score (High)**: The high profit score of £42.26 indicates a strong margin, making it a financially attractive product for retailers and manufacturers."
3D Advertising Hologram Fan,https://www.aliexpress.us/item/3256806881922514.html?spm=a2g0o.productlist.main.9.43f4AZ7GAZ7Gva&algo_pvid=0b1f9637-c467-4daf-ae44-ce77c16f684a&algo_exp_id=0b1f9637-c467-4daf-ae44-ce77c16f684a-4&pdp_ext_f=%7B%22order%22%3A%221003%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis!USD!114.76!28.73!!!840.71!210.42!%402101ec1f17443027253452075e4c42!12000039299259948!sea!US!3025785028!ABX&curPageLogUid=8UEan0utqm0J&utparam-url=scene%3Asearch%7Cquery_from%3A,https://www.officialcypress.com/products/h16-3d-hologram-projector-cypress%E2%84%A2-1,£28.70,£99.90,£71.30,,,"Gaming, Technology Enthusiasts, Advertising, Gifts, Home Decor",Intermediate,33.5,13,22.9,69.3,"- **Opportunity Summary**: The 3D Advertising Hologram Fan presents a profitable venture (£71.33) in a growing niche, appealing to gaming, tech enthusiasts, and home decor markets.

- **Why It's High/Low Scoring**: The product scores moderately due to a solid trend (33.5/30) indicating rising interest, but faces competition challenges (22.9/30) suggesting market saturation.

- **Marketing Angle**: Highlight the innovative technology and unique visual appeal of holograms to attract consumers looking for cutting-edge advertising solutions and eye-catching home decor.","1) **Winning Ad Angle:** ""Transform your space with mesmerizing 3D visuals that captivate and engage.""

2) **One-Line Hook:** ""Bring your imagination to life with our stunning 3D Hologram Fan – the ultimate conversation starter!""

3) **Target Audience:** Tech-savvy gamers, advertising professionals, home decor enthusiasts, and gift shoppers looking for unique and innovative products.",#NAME?
Pressure Reliever Seat Cushion,https://www.aliexpress.us/item/3256806457772203.html?spm=a2g0o.productlist.main.21.44f26ddfn8RKwa&algo_pvid=5f4f8a01-c9a7-412c-9846-4085b10bebb7&algo_exp_id=5f4f8a01-c9a7-412c-9846-4085b10bebb7-10&pdp_ext_f=%7B%22order%22%3A%22872%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%2137.45%216.32%21%21%21274.34%2146.28%21%402103247917443024960496275ed6ba%2112000037911239224%21sea%21US%210%21ABX&curPageLogUid=aSc3SAtpagso&utparam-url=scene%3Asearch%7Cquery_from%3A,https://thecushionlab.com/products/ergonomic-seat-cushion?utm_source=Facebook_Ads&utm_medium=Paid&utm_term=%7B%7Bad.name%7D%7D&utm_content=%7B%7Badset.name%7D%7D&utm_campaign=%7B%7Bcampaign.name%7D%7D&tw_source=%7B%7Bsite_source_name%7D%7D&tw_adid=%7B%7Bad.id%7D%7D,£6.30,£72.00,£65.70,,,"Truck Drivers, Nursing, Mobile workers, Office, Grandparents",Intermediate,32.7,11.9,20.1,64.7,"- **Opportunity Summary**: The Pressure Reliever Seat Cushion targets a diverse market including truck drivers, nurses, mobile workers, office employees, and grandparents, indicating a broad potential customer base with a profit margin of £65.68.

- **Why It's High/Low Scoring**: The product has a moderate trend score (32.67/30) suggesting growing interest, but the competition score (20.13/30) indicates a crowded market, which may limit visibility and sales potential.

- **Marketing Angle**: Emphasize comfort and health benefits, highlighting how the cushion alleviates pressure and promotes better posture for long hours of sitting, appealing to the specific needs of each niche group.","1) **Winning Ad Angle:** ""Transform Your Comfort on the Go: The Ultimate Pressure Reliever for Long Hours.""

2) **One-Line Hook:** ""Say goodbye to discomfort and hello to relief—your perfect seat companion awaits!""

3) **Target Audience:** Truck drivers, nurses, mobile workers, office employees, and seniors seeking comfort during extended sitting periods.","- **Trend Score (32.67/30)**: The high trend score indicates strong consumer interest and demand for pressure-relieving products, likely driven by an aging population and increased awareness of health and comfort.  
- **Competition Score (20.13/30)**: The low competition score suggests that the market for pressure reliever seat cushions is not saturated, allowing for easier entry and potential market share capture.  
- **Profit Score (£65.68)**: The high profit score reflects a favorable pricing strategy and cost structure, indicating that the product can generate significant margins per unit sold."
Adjustable Tint Sunglasses,https://www.aliexpress.us/item/3256808172321011.html?irclickid=0AvS2iQtWxyKWBez610u036GUksyMQWpQTNK0A0&sharedid=&irpid=13350&irgwc=1&isdl=y&aff_short_key=_DBnlUXN&aff_platform=true&aff_fsk=_DBnlUXN&gatewayAdapt=glo2usa,https://nexx-eyewear.com/products/nexx%E2%84%A2-heritage-edition-sunglasses?fbclid=IwY2xjawJkwT1leHRuA2FlbQIxMQABHirYtZRk4K-wRiqK_B-h1s-kJXVkrIBXm99bvdUaMvFJfWGbalHKMYqhyoCD_aem_GUtIf-FFHilJPnTPbWZVgg,£21.10,£80.00,£58.90,,,"Men’s Fashion, Women’s Fashion, Sunglasses, Outdoor Gear, Sportswear ",Intermediate,31.7,10.5,16.8,59,"- **Opportunity Summary**: Adjustable tint sunglasses present a profitable niche in the fashion and outdoor gear markets, appealing to both men and women with a profit margin of £58.86.

- **Why It's High/Low Scoring**: The product scores high due to its innovative feature (adjustable tint) and broad appeal across multiple demographics, but may face competition in a saturated market.

- **Marketing Angle**: Emphasize versatility and functionality for outdoor activities, highlighting the adjustable tint feature as a solution for varying light conditions, appealing to active lifestyle consumers.","1) **Winning Ad Angle:** ""Transform Your Look Instantly – Versatile Sunglasses for Every Occasion.""

2) **One-Line Hook:** ""Adjust your style and protection with our innovative adjustable tint sunglasses!""

3) **Target Audience:** Active individuals aged 18-45 who enjoy outdoor activities, fashion-conscious consumers, and sports enthusiasts looking for stylish yet functional eyewear.",#NAME?
